epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2654,2.21282,2.28261,1.61208,0.00233,0.06724,0.00195,0.00055,3.78551,3.91738,3.03443,0.000647059,0.000647059,0.000647059
2,39.4151,1.42346,1.11577,1.10136,0.74773,0.51227,0.59965,0.35632,1.54066,1.65614,1.28574,0.00130072,0.00130072,0.00130072
3,57.4969,1.30001,0.98024,1.03903,0.83331,0.82165,0.8899,0.55281,1.27838,0.88881,1.03584,0.00194118,0.00194118,0.00194118
4,75.455,1.25284,0.88497,1.01908,0.84654,0.85699,0.91567,0.605,1.19205,0.85047,0.99922,0.0019406,0.0019406,0.0019406
5,93.3423,1.22104,0.84912,1.00947,0.8438,0.86019,0.91548,0.60957,1.16506,0.89491,1.00292,0.0019208,0.0019208,0.0019208
6,111.33,1.18286,0.79788,0.99806,0.88427,0.86553,0.9368,0.64393,1.09824,0.74139,0.97753,0.001901,0.001901,0.001901
7,129.25,1.15941,0.76804,0.97893,0.86104,0.87952,0.94318,0.64885,1.10009,0.68621,0.97695,0.0018812,0.0018812,0.0018812
8,147.249,1.14322,0.73779,0.97449,0.87717,0.88408,0.94341,0.64797,1.09292,0.74272,0.97741,0.0018614,0.0018614,0.0018614
9,165.21,1.12283,0.71094,0.97043,0.8872,0.86455,0.94063,0.65555,1.09708,0.6681,0.97522,0.0018416,0.0018416,0.0018416
10,183.291,1.11935,0.70463,0.97544,0.86269,0.86873,0.93294,0.64423,1.11368,0.68045,0.98089,0.0018218,0.0018218,0.0018218
11,202.598,1.11283,0.68818,0.96721,0.88691,0.86873,0.94399,0.65963,1.08823,0.66053,0.97702,0.001802,0.001802,0.001802
12,222.763,1.09532,0.68486,0.95861,0.86028,0.89221,0.9509,0.675,1.05381,0.62012,0.95663,0.0017822,0.0017822,0.0017822
13,243.922,1.12004,0.66272,0.96476,0.89716,0.90313,0.9559,0.66923,1.06303,0.64986,0.96591,0.0017624,0.0017624,0.0017624
14,262.659,1.08999,0.64763,0.95126,0.8773,0.91142,0.94842,0.67964,1.03375,0.61714,0.95255,0.0017426,0.0017426,0.0017426
15,281.031,1.07226,0.65141,0.95315,0.86678,0.91889,0.95748,0.67492,1.04743,0.63378,0.95927,0.0017228,0.0017228,0.0017228
16,299.359,1.08316,0.63908,0.95419,0.87102,0.90822,0.95564,0.66281,1.08131,0.63953,0.96371,0.001703,0.001703,0.001703
17,317.476,1.08786,0.63728,0.95172,0.90601,0.89648,0.96442,0.68132,1.06822,0.58784,0.9552,0.0016832,0.0016832,0.0016832
18,336.005,1.06404,0.61153,0.94364,0.88448,0.91523,0.95963,0.69825,1.01005,0.57537,0.94093,0.0016634,0.0016634,0.0016634
19,354.099,1.05261,0.61338,0.94376,0.89387,0.91685,0.96674,0.69935,1.02286,0.56169,0.95032,0.0016436,0.0016436,0.0016436
20,372.324,1.05112,0.60341,0.93775,0.91491,0.90288,0.96635,0.68792,1.05083,0.58178,0.95093,0.0016238,0.0016238,0.0016238
21,390.507,1.05429,0.59613,0.94082,0.89267,0.90822,0.95753,0.67409,1.02794,0.61721,0.9496,0.001604,0.001604,0.001604
22,408.557,1.05755,0.60082,0.94438,0.8908,0.92282,0.96728,0.68343,1.04424,0.60342,0.95078,0.0015842,0.0015842,0.0015842
23,429.95,1.0206,0.58048,0.933,0.87395,0.92529,0.96182,0.69199,1.0185,0.58503,0.94302,0.0015644,0.0015644,0.0015644
24,450.493,1.02129,0.57803,0.93537,0.87953,0.9285,0.9612,0.70679,0.99862,0.56523,0.93561,0.0015446,0.0015446,0.0015446
25,471.384,1.03223,0.58322,0.93362,0.87705,0.91889,0.96249,0.68618,1.02828,0.56876,0.93675,0.0015248,0.0015248,0.0015248
26,489.731,1.01091,0.56402,0.92915,0.8976,0.92617,0.97086,0.69232,1.03143,0.54827,0.94301,0.001505,0.001505,0.001505
27,507.896,1.01337,0.55966,0.93387,0.92369,0.90822,0.97081,0.69656,1.0346,0.5405,0.95047,0.0014852,0.0014852,0.0014852
28,525.935,1.01748,0.5699,0.93667,0.90346,0.89861,0.96187,0.69983,1.00649,0.57075,0.9387,0.0014654,0.0014654,0.0014654
29,544.611,1.02826,0.56676,0.93282,0.90478,0.92279,0.9695,0.69838,1.0338,0.55523,0.94551,0.0014456,0.0014456,0.0014456
30,569.061,1.02102,0.55744,0.93425,0.90263,0.92995,0.9736,0.69827,1.0221,0.54826,0.93775,0.0014258,0.0014258,0.0014258
31,589.95,1.02124,0.55549,0.93064,0.93212,0.89114,0.96754,0.70499,1.0174,0.53873,0.94172,0.001406,0.001406,0.001406
32,609.438,1.01684,0.55608,0.9296,0.90858,0.91569,0.97046,0.70423,1.01163,0.54205,0.9347,0.0013862,0.0013862,0.0013862
33,628.109,0.9982,0.55202,0.92987,0.90769,0.92354,0.96622,0.69755,1.00766,0.57336,0.93749,0.0013664,0.0013664,0.0013664
34,647.023,0.99983,0.54099,0.92438,0.90402,0.91035,0.96943,0.69118,1.044,0.548,0.94911,0.0013466,0.0013466,0.0013466
