epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5449,1.90167,2.10044,1.47545,0.80151,0.78865,0.86072,0.5209,1.37102,1.24563,1.11972,0.000664179,0.000664179,0.000664179
2,114.975,1.40601,1.44665,1.15268,0.81765,0.83138,0.89735,0.5936,1.2308,1.1648,1.07799,0.00131767,0.00131767,0.00131767
3,172.115,1.31161,1.11607,1.1232,0.83454,0.85051,0.91462,0.60846,1.20859,0.9119,1.05917,0.00195796,0.00195796,0.00195796
4,231.466,1.26899,1.12751,1.09499,0.84522,0.85668,0.92731,0.61987,1.18837,0.88563,1.05618,0.0019406,0.0019406,0.0019406
5,288.945,1.25833,1.0139,1.08358,0.82984,0.88478,0.92534,0.63329,1.1657,0.81756,1.04163,0.0019208,0.0019208,0.0019208
6,346.438,1.2237,0.9389,1.07615,0.87626,0.87407,0.94345,0.6493,1.15159,0.79687,1.03213,0.001901,0.001901,0.001901
7,403.91,1.21635,0.87127,1.0633,0.87609,0.87534,0.93355,0.64224,1.1359,0.75775,1.03584,0.0018812,0.0018812,0.0018812
8,461.352,1.1956,0.86891,1.06389,0.85895,0.89434,0.93408,0.6425,1.14279,0.80386,1.02538,0.0018614,0.0018614,0.0018614
9,518.905,1.16502,0.99483,1.03659,0.88122,0.91052,0.94991,0.65882,1.13758,0.73289,1.02113,0.0018416,0.0018416,0.0018416
10,576.413,1.19196,0.82102,1.06121,0.90488,0.8934,0.96343,0.66132,1.14364,0.69766,1.01704,0.0018218,0.0018218,0.0018218
11,634.419,1.14306,0.74246,1.02945,0.88108,0.90935,0.96216,0.67045,1.12035,0.70634,1.01516,0.001802,0.001802,0.001802
12,691.88,1.15371,0.76211,1.03719,0.90899,0.8847,0.95708,0.67449,1.12869,0.66684,1.01925,0.0017822,0.0017822,0.0017822
13,750.031,1.15021,0.72856,1.02644,0.88858,0.89369,0.96015,0.67404,1.10283,0.67875,1.01348,0.0017624,0.0017624,0.0017624
14,807.751,1.14857,0.70676,1.03031,0.89989,0.90715,0.96412,0.68132,1.09533,0.64319,1.00559,0.0017426,0.0017426,0.0017426
15,866.091,1.12414,0.70833,1.02848,0.90708,0.89601,0.95917,0.68726,1.09248,0.63735,1.00311,0.0017228,0.0017228,0.0017228
16,924.702,1.1082,0.68174,1.02127,0.9053,0.91142,0.96549,0.68956,1.08834,0.647,1.00688,0.001703,0.001703,0.001703
17,984.478,1.13355,0.69861,1.02464,0.88287,0.89755,0.94888,0.67988,1.08671,0.64344,1.00558,0.0016832,0.0016832,0.0016832
18,1045.04,1.08158,0.67201,1.00993,0.88853,0.90395,0.95995,0.68008,1.09239,0.66457,1.00473,0.0016634,0.0016634,0.0016634
19,1104.01,1.09281,0.70013,1.01442,0.89452,0.91676,0.95645,0.69121,1.06541,0.60417,0.99732,0.0016436,0.0016436,0.0016436
20,1162.09,1.09912,0.70533,1.01605,0.87807,0.90715,0.94885,0.69024,1.05269,0.61506,0.99162,0.0016238,0.0016238,0.0016238
21,1219.75,1.0973,0.67947,1.01451,0.8929,0.91643,0.95449,0.69635,1.04609,0.65502,0.98692,0.001604,0.001604,0.001604
22,1277.45,1.08689,0.6795,1.00438,0.86837,0.92209,0.95364,0.68139,1.08572,0.63685,0.99072,0.0015842,0.0015842,0.0015842
23,1333.97,1.08257,0.69847,0.99079,0.90166,0.91004,0.95908,0.69615,1.07433,0.59343,0.99285,0.0015644,0.0015644,0.0015644
24,1391.04,1.07356,0.66665,0.99999,0.88029,0.93063,0.96004,0.69366,1.05895,0.61647,0.98984,0.0015446,0.0015446,0.0015446
25,1449.54,1.07031,0.63497,0.99957,0.88195,0.89304,0.95252,0.69328,1.06409,0.62882,0.99735,0.0015248,0.0015248,0.0015248
